skills,interests,education,recommended_career
"business knowledge, people management, communication skills, logical skills, problem solving skills, reading, sales","sales/marketing, entrepreneurship",bachelor of management studies,business consultant
teaching experience,govt. job,b.sc,teaching experience 5 years
active listening;critical thinking;business knowledge;people management;communication skills;leadership;problem solving skills;risk management skills;writing skills;hospitality;client management;good communication skills,research;sales/marketing;teaching;trading;understand human behaviour,b.sc,asst. manager
"accounting skills, business knowledge, editing, excel, designing skills, sales",hospitality,diploma in pharmacy,medical practitioner
accounting skills;critical thinking;gathering information;artistic/creative skills;analytical skills,news coverage;social justice;content writing;govt. job,b.sc,sub editor
polymerase chain reaction (pcr);molecular biology;life sciences;molecular biology protein purification;protein chemistry;protein assays;protein electrophoresis;protein chromatography;western blotting;protein structure prediction;protein kinases; protein structure ;protein characterization ;protein engineering,"research,understand human body,biotechnology",b.tech,research associate
programming language skills;machine learning skills;python,data analytics,be,
active listening;critical thinking,technology,b.sc,se
"communication skills, leadership, problem solving skills, subject knowledge",news coverage,b.sc,student (unemployed)
phytochemistry;metabolomics;protein expression;pcr;molecular biology;life sciences;polymerase chain reaction (pcr);dna;biochemistry;bioinformatics;cell culture;protein purification;chemometrics,"research,understand human body,biotechnology",b.tech,assistant professor
"business knowledge, communication skills, observation skills",teaching,b.sc,student (unemployed)
artistic/creative skills;mass communication,news coverage;content writing,bachelor of journalism,sub-editor
teaching,teaching,ba,
"python, java, sql, oracle","research, technology",b.sc,
leadership;r;python;sql,all fields related to data science.,b.tech,maths content developer
"python, critical thinking, analytic thinking, work under pressure, creativity skills, team work, derivatives, excel, logical skills, interpersonal skills, observation skills",software and research,b.sc,student (unemployed)
active listening;finance related skills;people management;communication skills;negotiation skills;interpersonal skills;hr,financial analysis;sales/marketing;trading;understand human behaviour,bba,hr executive
active listening;hardware skills;critical thinking;gathering information;artistic/creative skills;business knowledge,teaching;technology;trading;home interior design;industires;design,b.tech,civil engineer
"team work, logical skills, writing","financial analysis, sales/marketing, teaching",b.sc,student (unemployed)
