skills,interests,education,recommended_career,skills_mapped
designing skills,technology,diploma,engineer,designing skills
company law;company secretarial work;due diligence;corporate law;industrial and labour law;company law;corporate social responsibility;public company compliance;statutory compliances;regulatory compliance,financial analysis,b.com,company secretary,company law;company secretarial work;corporate law;corporate social responsibility;due diligence;industrial and labour law;public company compliance;regulatory compliance;statutory compliances
active listening;programming language skills;communication skills;client management;good communication skills,research;technology;data analytics;design,b.tech,programmer analyst trainee (pat),active listening;client management;communication skills;good communication skills;programming language skills
active listening;programming language skills;gathering information;mass communication;content creation,teaching;technology;web designing,b.tech,programmer,active listening;content creation;gathering information;mass communication;programming language skills
"analytic thinking, gathering informing, sql, risk managing","technology, understand human behaviour, understand human body",b.e,risk analyst,analytic thinking;gathering informing;risk managing;sql
analytical skills;data visualization skills( power bi/ tableau );python;sql,technology;data analytics;data scientist;all fields related to data science.,b.sc,,analytical skills;data visualization skills power bi;python;sql;tableau
business knowledge;analytical skills;people management;communication skills;leadership;product knowledge;problem solving skills;risk management skills;designing skills;writing skills;data visualization skills( power bi/ tableau );presentation skills;sql;hospitality;hr;excel,digital marketing;market reserach,b.sc,,analytical skills;business knowledge;communication skills;data visualization skills power bi;designing skills;excel;hospitality;hr;leadership;people management;presentation skills;problem solving skills;product knowledge;risk management skills;sql;tableau;writing skills
"analytic thinking, logical skills, c++, writing","teaching, technology",b.tech,student (unemployed),analytic thinking;c++;logical skills;writing
active listening;negotiation skills,technology,bca,data entry,active listening;negotiation skills
"java, sql, programming",technology,b.tech,student (unemployed),java;programming;sql
stack web development,software job,b.tech,associate software engineer,stack web development
programming language skills;business knowledge;analytical skills;communication skills;python;sql,all fields related to data science.;machine learning;sports industry,be,data scientist-intern,analytical skills;business knowledge;communication skills;programming language skills;python;sql
